access_id,customer_id,access_date,access_time,page_viewed,session_duration,browser_type,device_type,operating_system,referral_source,actions_taken
1,1,3/22/2024,11:01 PM,About,135,Safari,Desktop,iOS,Search Engine,2
2,2,7/22/2023,4:57 AM,Product Page,556,Firefox,Smartphone,Windows,Direct,null
3,3,7/17/2022,1:50 PM,Checkout,355,Chrome,Desktop,MacOS,Search Engine,3
4,4,2/11/2024,8:23 AM,Checkout,340,Chrome,Desktop,MacOS,Social Media,2
5,5,11/12/2023,10:58 PM,Product Page,482,Safari,Desktop,MacOS,Direct,2
6,6,5/26/2023,4:09 PM,Product Page,248,Edge,Desktop,MacOS,Email Campaign,3
7,null,1/7/2023,12:24 PM,Product Page,357,Chrome,Desktop,iOS,Direct,1
8,8,6/27/2022,5:14 AM,Home Page,71,Edge,Desktop,Windows,Email Campaign,3
9,9,7/22/2022,3:50 AM,Checkout,376,Firefox,Tablet,MacOS,Social Media,3
10,10,5/23/2022,12:48 AM,About,372,Chrome,Desktop,Windows,Direct,1
11,11,8/17/2023,7:17 PM,Product Page,95,Safari,null,MacOS,Social Media,1
12,12,3/7/2023,11:42 AM,Checkout,473,Firefox,Tablet,iOS,Email Campaign,2
13,13,1/5/2024,4:41 AM,Home Page,374,Firefox,Desktop,Android,Email Campaign,1
14,14,11/17/2023,5:55 PM,Checkout,273,Chrome,null,iOS,Social Media,2
15,15,2/15/2023,9:17 PM,About,3,Edge,Desktop,Android,Social Media,1
16,16,7/23/2023,2:44 AM,Home Page,345,Edge,Smartphone,Android,Search Engine,3
17,17,8/13/2023,1:28 PM,About,594,Edge,Desktop,Windows,Search Engine,3
18,18,4/30/2024,7:08 PM,null,536,Edge,Smartphone,MacOS,Email Campaign,2
19,19,2/1/2024,3:29 AM,About,316,Edge,Smartphone,iOS,Social Media,1
20,20,7/29/2023,2:27 AM,Home Page,230,Chrome,Tablet,iOS,Search Engine,2
21,21,2/27/2024,4:50 AM,Home Page,334,Edge,Desktop,iOS,Search Engine,2
22,22,10/3/2023,8:18 AM,Checkout,160,Edge,Smartphone,null,Search Engine,3
23,23,5/13/2022,10:31 AM,Checkout,280,Edge,Tablet,iOS,Search Engine,2
24,24,2/4/2023,4:17 AM,Home Page,195,Safari,Tablet,Windows,Social Media,3
25,25,6/17/2023,1:04 PM,Checkout,531,Firefox,Tablet,Windows,Social Media,2
26,26,3/6/2024,10:29 PM,Home Page,104,null,Tablet,Windows,Email Campaign,2
27,27,8/13/2023,11:18 AM,Product Page,262,Firefox,Desktop,MacOS,Email Campaign,2
28,28,2/18/2024,7:19 PM,Home Page,335,Chrome,Desktop,Windows,Direct,2
29,29,2/26/2024,6:17 PM,Checkout,505,Safari,Tablet,MacOS,Search Engine,1
30,30,7/8/2022,6:41 PM,Product Page,146,Chrome,Tablet,Windows,Direct,1
31,31,11/28/2022,10:09 PM,Product Page,446,Safari,Desktop,Windows,Direct,2
32,32,10/31/2022,4:33 AM,About,411,Edge,Desktop,Android,Search Engine,2
33,33,10/11/2023,8:57 AM,About,573,Firefox,Smartphone,Android,Social Media,3
34,34,3/2/2024,4:51 PM,Product Page,270,Edge,Smartphone,Windows,Direct,1
35,35,7/2/2023,2:02 PM,About,84,Safari,Smartphone,Windows,Direct,1
36,36,3/20/2024,3:20 PM,Checkout,577,Safari,Desktop,iOS,Search Engine,1
37,37,1/17/2024,5:35 PM,Checkout,397,Firefox,Tablet,Android,Direct,2
38,38,8/3/2022,7:39 AM,Checkout,71,Safari,Smartphone,iOS,Email Campaign,1
39,39,3/4/2024,8:16 PM,Product Page,290,Chrome,Smartphone,iOS,Social Media,2
40,40,5/13/2023,4:15 PM,Home Page,10,Edge,Desktop,Windows,Direct,2
41,41,5/21/2023,8:14 PM,About,427,Chrome,Tablet,Android,Email Campaign,3
42,42,4/12/2024,9:43 AM,Home Page,580,Chrome,Smartphone,Windows,Search Engine,1
43,43,4/25/2024,12:47 AM,Checkout,560,Chrome,Tablet,MacOS,Email Campaign,2
44,44,9/18/2022,5:25 PM,Home Page,280,Edge,Smartphone,MacOS,Direct,3
45,45,5/7/2024,1:10 PM,About,79,Chrome,Tablet,iOS,Email Campaign,3
46,46,8/11/2023,8:35 AM,Product Page,98,Safari,Desktop,MacOS,Search Engine,2
47,47,10/15/2022,12:01 AM,Product Page,568,Safari,Desktop,iOS,Direct,2
48,48,4/26/2024,7:51 PM,About,505,Chrome,Tablet,Android,Social Media,2
49,49,1/2/2023,3:21 PM,Home Page,230,Edge,Smartphone,MacOS,Search Engine,3
50,50,7/8/2022,3:39 PM,Checkout,199,Chrome,Tablet,Android,Direct,3
51,51,8/1/2022,12:35 PM,Home Page,216,Safari,Smartphone,Windows,Email Campaign,3
52,52,1/11/2024,1:06 PM,Product Page,199,Edge,Tablet,MacOS,Social Media,1
53,53,5/8/2022,4:55 AM,About,31,Chrome,Smartphone,MacOS,Email Campaign,3
54,54,4/9/2023,3:16 AM,About,398,Chrome,Tablet,MacOS,Social Media,2
55,55,10/3/2023,4:35 PM,Checkout,591,Edge,Smartphone,Android,Search Engine,3
56,56,1/4/2023,7:52 PM,Home Page,459,Chrome,Smartphone,Android,Email Campaign,2
57,57,8/7/2023,4:23 PM,Home Page,539,Firefox,Tablet,Windows,Social Media,2
58,58,4/2/2024,3:47 AM,Checkout,378,Firefox,Tablet,MacOS,Social Media,1
59,59,6/1/2023,6:45 AM,About,578,Firefox,Smartphone,iOS,Social Media,1
60,60,5/5/2022,8:32 AM,Product Page,136,Edge,Tablet,Windows,Direct,2
61,61,3/8/2023,8:20 PM,Checkout,331,Safari,Smartphone,Android,Email Campaign,2
62,62,9/23/2023,3:43 AM,Home Page,537,Safari,Desktop,iOS,Email Campaign,2
63,63,11/24/2022,3:32 PM,Product Page,581,Chrome,Smartphone,Windows,Direct,3
64,64,7/17/2023,5:05 PM,Checkout,84,Safari,Smartphone,MacOS,Search Engine,1
65,65,3/1/2023,3:57 AM,Product Page,343,Firefox,Smartphone,Windows,Social Media,3
66,66,10/8/2022,1:50 PM,Product Page,290,Safari,Tablet,MacOS,Social Media,1
67,67,7/21/2023,11:20 PM,Checkout,212,Chrome,Tablet,iOS,Email Campaign,2
68,68,11/5/2022,12:20 PM,Product Page,416,Firefox,Desktop,Android,Direct,1
69,69,11/6/2023,8:07 AM,Product Page,257,Chrome,Smartphone,MacOS,Search Engine,2
70,70,11/9/2023,5:27 AM,Home Page,338,Firefox,Tablet,MacOS,Email Campaign,2
71,71,2/6/2023,12:33 PM,Checkout,166,Safari,Smartphone,MacOS,Email Campaign,2
72,72,11/18/2023,11:56 PM,Checkout,425,Chrome,Tablet,Windows,Email Campaign,1
73,73,4/28/2024,10:18 AM,Checkout,302,Firefox,Desktop,iOS,Search Engine,1
74,74,9/8/2022,12:18 PM,Product Page,164,Chrome,Tablet,iOS,Search Engine,2
75,75,6/3/2022,11:48 AM,Product Page,595,Firefox,Desktop,Android,Search Engine,1
76,76,10/16/2022,4:39 AM,Home Page,172,Edge,Desktop,MacOS,Search Engine,3
77,77,3/27/2024,10:32 AM,About,563,Chrome,Tablet,iOS,Email Campaign,2
78,78,8/1/2023,8:32 AM,About,50,Chrome,Smartphone,Android,Social Media,2
79,79,7/26/2023,10:22 PM,About,83,Edge,Desktop,Windows,Direct,3
80,80,12/1/2022,5:37 PM,Product Page,262,Chrome,Smartphone,Windows,Email Campaign,3
81,81,12/19/2022,10:16 PM,Checkout,270,Firefox,Tablet,Android,Social Media,2
82,82,5/2/2023,10:25 AM,About,253,Chrome,Tablet,Windows,Social Media,2
83,83,9/19/2022,10:33 AM,Home Page,302,Chrome,Desktop,MacOS,Social Media,3
84,84,1/10/2023,1:21 AM,Checkout,301,Edge,Desktop,MacOS,Email Campaign,3
85,85,12/22/2022,9:02 AM,Checkout,248,Edge,Tablet,Windows,Direct,3
86,86,2/1/2023,5:20 PM,About,520,Edge,Tablet,MacOS,Search Engine,2
87,87,2/15/2024,4:16 PM,About,121,Chrome,Desktop,Android,Social Media,1
88,88,4/24/2023,1:04 AM,Home Page,249,Edge,Smartphone,Windows,Social Media,1
89,89,5/11/2022,2:16 AM,Checkout,212,Chrome,Smartphone,MacOS,Search Engine,1
90,90,9/14/2023,1:28 AM,Home Page,218,Chrome,Smartphone,iOS,Email Campaign,2
91,91,6/11/2022,1:21 AM,Checkout,290,Edge,Tablet,Android,Search Engine,2
92,92,8/17/2022,10:53 PM,Checkout,450,Firefox,Tablet,iOS,Direct,3
93,93,2/14/2023,12:06 AM,Home Page,78,Edge,Smartphone,MacOS,Social Media,3
94,94,11/30/2023,10:30 PM,About,580,Edge,Smartphone,Windows,Direct,3
95,95,10/21/2022,3:16 PM,Product Page,174,Edge,Desktop,MacOS,Direct,2
96,96,12/30/2023,6:29 AM,Home Page,139,Safari,Desktop,Windows,Social Media,2
97,97,6/20/2023,4:25 PM,Checkout,547,Safari,Tablet,Android,Search Engine,1
98,98,6/22/2022,6:14 PM,Product Page,125,Edge,Desktop,iOS,Search Engine,1
99,99,10/10/2023,12:24 AM,Home Page,190,Firefox,Smartphone,Windows,Social Media,2
100,100,9/27/2023,12:26 PM,Product Page,377,Chrome,Tablet,Windows,Social Media,3
101,101,9/2/2023,2:53 PM,Checkout,153,Chrome,Smartphone,iOS,Social Media,3
102,102,4/9/2023,10:04 AM,Product Page,464,Firefox,Smartphone,iOS,Direct,3
103,103,9/12/2023,11:26 AM,Checkout,18,Safari,Desktop,Windows,Email Campaign,2
104,104,8/2/2022,7:07 AM,Home Page,493,Safari,Desktop,MacOS,Search Engine,1
105,105,3/17/2024,1:21 PM,Checkout,369,Edge,Smartphone,MacOS,Email Campaign,3
106,106,1/29/2024,2:47 PM,Product Page,451,Chrome,Tablet,Android,Direct,1
107,107,2/8/2024,4:47 PM,About,456,Edge,Smartphone,iOS,Direct,3
108,108,12/11/2023,7:23 PM,Product Page,524,Chrome,Desktop,iOS,Social Media,3
109,109,2/14/2023,8:08 AM,Product Page,420,Firefox,Smartphone,Windows,Direct,2
110,110,12/30/2022,6:30 PM,About,275,Chrome,Desktop,Android,Search Engine,2
111,111,3/4/2023,1:30 PM,Checkout,101,Chrome,Tablet,Windows,Social Media,3
112,112,6/23/2022,7:59 AM,Home Page,238,Edge,Smartphone,Windows,Social Media,2
113,113,10/20/2022,8:59 PM,Product Page,121,Chrome,Desktop,MacOS,Social Media,3
114,114,5/5/2024,8:50 AM,About,107,Firefox,Smartphone,MacOS,Social Media,2
115,115,1/31/2023,6:55 AM,Home Page,582,Chrome,Desktop,Windows,Email Campaign,1
116,116,12/22/2022,3:23 AM,Checkout,99,Chrome,Desktop,iOS,Search Engine,3
117,117,1/14/2023,12:29 AM,Product Page,135,Safari,Smartphone,iOS,Search Engine,1
118,118,11/24/2022,1:13 PM,About,133,Chrome,Smartphone,Android,Direct,2
119,119,4/23/2024,9:40 AM,Checkout,4,Edge,Desktop,iOS,Social Media,3
120,120,3/5/2023,4:40 AM,About,565,Chrome,Tablet,MacOS,Direct,1
121,121,12/17/2022,3:18 PM,Checkout,456,Safari,Smartphone,iOS,Direct,1
122,122,4/18/2024,7:56 PM,Checkout,551,Safari,Tablet,Android,Search Engine,1
123,123,10/6/2023,12:33 PM,Checkout,134,Firefox,Smartphone,Windows,Search Engine,3
124,124,5/28/2022,4:24 AM,Product Page,356,Safari,Smartphone,Windows,Search Engine,1
125,125,1/29/2023,4:55 PM,Checkout,91,Edge,Smartphone,iOS,Search Engine,2
126,126,11/18/2022,3:57 PM,Home Page,595,Safari,Desktop,Android,Social Media,2
127,127,4/2/2024,6:02 AM,Home Page,92,Chrome,Tablet,Windows,Search Engine,1
128,128,9/4/2023,9:49 AM,Checkout,503,Firefox,Tablet,Android,Direct,2
129,129,8/24/2023,8:36 AM,Home Page,505,Chrome,Desktop,MacOS,Email Campaign,2
130,130,3/12/2023,5:10 PM,Home Page,93,Firefox,Desktop,Windows,Direct,1
131,131,9/24/2022,9:13 PM,Checkout,570,Edge,Tablet,MacOS,Search Engine,2
132,132,5/2/2024,11:20 AM,Home Page,575,Edge,Desktop,iOS,Social Media,2
133,133,4/18/2023,9:50 PM,Checkout,369,Chrome,Desktop,iOS,Search Engine,1
134,134,3/28/2023,6:21 AM,Checkout,267,Safari,Smartphone,iOS,Direct,3
135,135,1/23/2023,7:55 AM,Product Page,97,Safari,Tablet,Android,Search Engine,2
136,136,6/7/2022,10:25 PM,About,273,Chrome,Smartphone,MacOS,Email Campaign,2
137,137,5/28/2022,8:08 PM,Checkout,195,Firefox,Smartphone,Windows,Search Engine,2
138,138,10/31/2023,7:45 PM,Home Page,85,Edge,Smartphone,Windows,Search Engine,1
139,139,2/27/2023,6:02 PM,Product Page,437,Firefox,Smartphone,Windows,Search Engine,1
140,140,1/31/2024,1:37 PM,Home Page,299,Chrome,Desktop,Windows,Direct,2
141,141,8/8/2022,11:43 AM,Home Page,412,Chrome,Desktop,Android,Search Engine,1
142,142,11/26/2022,8:28 AM,Home Page,545,Edge,Desktop,MacOS,Direct,1
143,143,6/2/2023,2:02 AM,About,314,Safari,Smartphone,Windows,Social Media,1
144,144,9/29/2023,10:49 AM,Checkout,99,Safari,Smartphone,Windows,Direct,1
145,145,5/19/2022,6:38 PM,Checkout,131,Safari,Desktop,Windows,Email Campaign,2
146,146,12/1/2022,7:37 AM,Home Page,280,Chrome,Smartphone,Android,Direct,1
147,147,10/2/2022,6:15 PM,Home Page,74,Firefox,Smartphone,iOS,Search Engine,3
148,148,1/27/2024,12:56 PM,Checkout,374,Chrome,Desktop,iOS,Email Campaign,2
149,149,5/8/2024,11:33 AM,Product Page,204,Edge,Smartphone,Android,Search Engine,3
150,150,1/4/2024,5:04 PM,Product Page,34,Firefox,Tablet,MacOS,Social Media,1
151,151,12/8/2022,9:06 AM,Product Page,373,Safari,Tablet,iOS,Email Campaign,3
152,152,10/12/2023,7:06 AM,Product Page,14,Safari,Tablet,Android,Direct,3
153,153,4/16/2023,7:22 AM,Product Page,436,Edge,Tablet,iOS,Direct,2
154,154,12/3/2022,10:15 PM,Checkout,568,Edge,Desktop,MacOS,Direct,2
155,155,1/27/2023,1:41 PM,Product Page,500,Edge,Tablet,Windows,Direct,1
156,156,11/24/2022,3:39 AM,Product Page,521,Chrome,Desktop,Android,Email Campaign,2
157,157,3/23/2024,7:01 PM,Checkout,99,Safari,Smartphone,Windows,Search Engine,2
