product_id,product_name,product_group_id,manufacturer,warranty_period, price ,stock_quantity,release_date,product_rating,product_description
1,Doors,9,Twitterworks,6 months," $2,032.69 ",553,7/20/2023,1.6,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh."
2,Cell phones,4,Jabbersphere,12 months," $2,783.54 ",671,12/31/2023,2.6,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
3,Board games,10,Zoomdog,6 months," $2,398.10 ",656,3/25/2022,2.8,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
4,Wood,7,Yakidoo,24 months," $3,929.73 ",202,7/25/2023,4.9,Sed ante. Vivamus tortor. Duis mattis egestas metus.
5,Piping,6,Skajo,6 months," $2,351.87 ",378,4/6/2023,1.9,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
6,Wall decals,6,Trudeo,6 months," $4,935.03 ",136,3/24/2024,2.1,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi."
7,Pillows,2,Bluejam,24 months," $3,090.50 ",668,8/29/2022,3.6,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
8,Signs,5,Skivee,12 months," $1,858.48 ",732,5/6/2022,1.5,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris."
9,Rugs,3,Twitterlist,6 months," $2,100.62 ",818,9/26/2023,2.4,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
10,Parts for discontinued electronics,1,Teklist,24 months," $3,955.29 ",463,5/31/2022,2.6,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
11,Wall decals,6,Mymm,12 months," $2,043.36 ",641,12/15/2023,3.1,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet."
12,Bikes,4,Demimbu,6 months," $2,734.40 ",515,2/22/2024,4,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
13,Keychains,4,Livepath,24 months," $3,379.32 ",764,4/19/2023,3.8,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
14,Computers,10,InnoZ,12 months," $1,076.91 ",256,9/12/2023,4,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem."
15,Windows,7,Topicblab,24 months," $4,445.79 ",175,9/3/2023,4.9,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
16,Sound systems,8,Ntags,6 months," $1,622.47 ",720,8/7/2023,2.2,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus."
17,Water,2,Topicshots,24 months," $1,677.47 ",237,8/30/2023,1.3,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
18,Sports paraphernalia,10,Jabbersphere,12 months," $4,491.49 ",332,4/30/2022,4.8,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
19,Cleaning supplies,10,Jabberbean,24 months," $4,675.46 ",929,9/13/2024,3.3,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
20,Fabric,6,Fivespan,24 months, $862.57 ,184,2/7/2022,2.5,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
